source,target,weight
MORC4 , Q9WMX2,1
ELAC2 , Q9WMX2,1
EIF4ENIF1 , Q9WMX2,1
MORF4L1 , Q9WMX2,1
MSANTD3 , Q9WMX2,1
EIF1 , Q9WMX2,1
MVP , Q9WMX2,1
NAP1L2 , Q9WMX2,1
NCAN , Q9WMX2,1
EEF1A1 , Q9WMX2,1
NDC80 , Q9WMX2,1
NEFL , Q9WMX2,1
NEFM , Q9WMX2,1
NELL1 , Q9WMX2,1
NELL2 , Q9WMX2,1
NFE2 , Q9WMX2,1
NID1 , Q9WMX2,1
NID2 , Q9WMX2,1
DPP7 , Q9WMX2,1
DPF1 , Q9WMX2,1
DOCK7 , Q9WMX2,1
NOTCH1 , Q9WMX2,1
AEBP1 , Q9WMX2,1
NUP62 , Q9WMX2,1
OBSCN , Q9WMX2,1
PABPN1 , Q9WMX2,1
DLAT , Q9WMX2,1
PAK4 , Q9WMX2,1
PARVG , Q9WMX2,1
DES , Q9WMX2,1
PCYT2 , Q9WMX2,1
DEAF1 , Q9WMX2,1
PDE4DIP , Q9WMX2,1
PDLIM5 , Q9WMX2,1
DDX3Y , Q9WMX2,1
PFN1 , Q9WMX2,1
PKNOX1 , Q9WMX2,1
PLEKHG4 , Q9WMX2,1
DCAF6 , Q9WMX2,1
PMVK , Q9WMX2,1
PNPLA8 , Q9WMX2,1
POU3F2 , Q9WMX2,1
PPP1R13L , Q9WMX2,1
CTGF , Q9WMX2,1
PRRC1 , Q9WMX2,1
PSMA6 , Q9WMX2,1
PSMB9 , Q9WMX2,1
AGRN , Q9WMX2,1
PTPRN2 , Q9WMX2,1
RABEP1 , Q9WMX2,1
CREB3 , Q9WMX2,1
RAI14 , Q9WMX2,1
COX3 , Q9WMX2,1
CORO1B , Q9WMX2,1
COL4A2 , Q9WMX2,1
RASAL2 , Q9WMX2,1
RBM4 , Q9WMX2,1
RCN3 , Q9WMX2,1
RINT1 , Q9WMX2,1
CHPF , Q9WMX2,1
ROGDI , Q9WMX2,1
RPL18A , Q9WMX2,1
CFP , Q9WMX2,1
RRBP1 , Q9WMX2,1
CEP85 , Q9WMX2,1
CEP68 , Q9WMX2,1
CEP63 , Q9WMX2,1
CEP250 , Q9WMX2,1
CEP152 , Q9WMX2,1
CEP120 , Q9WMX2,1
CENPC , Q9WMX2,1
CELSR2 , Q9WMX2,1
RSPH3 , Q9WMX2,1
RUSC2 , Q9WMX2,1
SBF1 , Q9WMX2,1
SDCCAG8 , Q9WMX2,1
SECISBP2 , Q9WMX2,1
Sep-10, Q9WMX2,1
SESTD1 , Q9WMX2,1
CDC23 , Q9WMX2,1
SETD2 , Q9WMX2,1
CD68 , Q9WMX2,1
SHARPIN , Q9WMX2,1
SIAH1 , Q9WMX2,1
SLC31A2 , Q9WMX2,1
SLIT1 , Q9WMX2,1
SMEK2 , Q9WMX2,1
SMURF2 , Q9WMX2,1
SMYD3 , Q9WMX2,1
SORBS2 , Q9WMX2,1
SORBS3 , Q9WMX2,1
SPICE1 , Q9WMX2,1
SPOCK3 , Q9WMX2,1
SPON1 , Q9WMX2,1
SRPX2 , Q9WMX2,1
SRRT , Q9WMX2,1
CCDC66 , Q9WMX2,1
CCDC37 , Q9WMX2,1
SSX2IP , Q9WMX2,1
CBY1 , Q9WMX2,1
STAB1 , Q9WMX2,1
SYNE1 , Q9WMX2,1
SYNPO2 , Q9WMX2,1
TBC1D2B , Q9WMX2,1
TBXAS1 , Q9WMX2,1
TGFB1I1 , Q9WMX2,1
THAP1 , Q9WMX2,1
CALCOCO2 , Q9WMX2,1
CADPS2 , Q9WMX2,1
CADPS , Q9WMX2,1
THBS1 , Q9WMX2,1
C7 , Q9WMX2,1
C1orf94 , Q9WMX2,1
TMEM179B , Q9WMX2,1
C19orf66 , Q9WMX2,1
BZRAP1 , Q9WMX2,1
TMEM63B , Q9WMX2,1
TMF1 , Q9WMX2,1
TMSB4X , Q9WMX2,1
TP53BP2 , Q9WMX2,1
ACTN2 , Q9WMX2,1
TRIM23 , Q9WMX2,1
TRIM27 , Q9WMX2,1
TRIO , Q9WMX2,1
BIN1 , Q9WMX2,1
TRIOBP , Q9WMX2,1
BEND7 , Q9WMX2,1
BEND5 , Q9WMX2,1
BCL6 , Q9WMX2,1
TRIP11 , Q9WMX2,1
BCL2A1 , Q9WMX2,1
BCKDK , Q9WMX2,1
BCAR1 , Q9WMX2,1
BCAN , Q9WMX2,1
TUBB4B , Q9WMX2,1
UBA3 , Q9WMX2,1
UBASH3A , Q9WMX2,1
UBQLN1 , Q9WMX2,1
UBQLN4 , Q9WMX2,1
USHBP1 , Q9WMX2,1
B2M , Q9WMX2,1
AXIN1 , Q9WMX2,1
USP19 , Q9WMX2,1
UXT , Q9WMX2,1
VCAN , Q9WMX2,1
VPS52 , Q9WMX2,1
VPS9D1 , Q9WMX2,1
XAB2 , Q9WMX2,1
ASXL1 , Q9WMX2,1
XRN2 , Q9WMX2,1
ARHGEF6 , Q9WMX2,1
ARHGEF28 , Q9WMX2,1
YY1AP1 , Q9WMX2,1
ARFIP2 , Q9WMX2,1
ARFIP1 , Q9WMX2,1
ZBTB1 , Q9WMX2,1
ZCCHC7 , Q9WMX2,1
ZHX3 , Q9WMX2,1
ANKRD28 , Q9WMX2,1
ANKRD12 , Q9WMX2,1
ZMYM2 , Q9WMX2,1
ALG13 , Q9WMX2,1
ZNF281 , Q9WMX2,1
ZNF410 , Q9WMX2,1
ZNF646 , Q9WMX2,1
ZZZ3 , Q9WMX2,1
ACLY , Q9WMX2,1
L3MBTL3 , Q9WMX2,1
KHDRBS1 , Q9WMX2,1
SF3B2 , Q9WMX2,1
MAGED1 , Q9WMX2,1
HNRNPK , Q9WMX2,1
PSME3 , Q9WMX2,1
RNF31 , Q9WMX2,1
MMRN2 , Q9WMX2,1
EFEMP1 , Q9WMX2,1
PLSCR1 , Q9WMX2,1
SNX4 , Q9WMX2,1
PARP4 , Q9WMX2,1
LZTS2 , Q9WMX2,1
VIM , Q9WMX2,1
FN1 , Q9WMX2,1
LTBP4 , Q9WMX2,1
GRN , Q9WMX2,1
VWF , Q9WMX2,1
SLIT3 , Q9WMX2,1
HOMER3 , Q9WMX2,1
EGFL7 , Q9WMX2,1
FBLN2 , Q9WMX2,1
TRAF3IP3 , Q9WMX2,1
TXNDC11 , Q9WMX2,1
LAMB2 , Q9WMX2,1
NUCB1 , Q9WMX2,1
EFEMP2 , Q9WMX2,1
FBLN5 , Q9WMX2,1
NR4A1 , Q9WMX2,1
CSNK2B , Q9WMX2,1
MAPK7 , Q9WMX2,1
CCHCR1 , Q9WMX2,1
GAPDH , Q9WMX2,1
CD5L , Q9WMX2,1
GPS2 , Q9WMX2,1
FBLN1 , Q9WMX2,1
UBE2I , Q777G9,1
ACTN1 , Q777G9,1
EFEMP1 , Q777G9,1
PLSCR1 , Q777G9,1
LTBP4 , Q777G9,1
GRN , Q777G9,1
HOMER3 , Q777G9,1
BAG6 , Q777G9,1
TSNARE1 , Q777G9,1
CASKIN2 , Q777G9,1
RBPMS , Q777G9,1
DKK3 , Q777G9,1
MARCO , Q777G9,1
EGFL7 , Q777G9,1
FBLN2 , Q777G9,1
TRAF3IP3 , Q777G9,1
TXNDC11 , Q777G9,1
LAMB2 , Q777G9,1
NUCB1 , Q777G9,1
EFEMP2 , Q777G9,1
FBLN5 , Q777G9,1
HOMER3 , P03215,1
NUCB1 , P03215,1
HOMER3 , P03212,1
HOMER3 , Q777C5,1
HOMER3 , P0C6Z3,1
HOMER3 , P03200,1
OPTN , Q777C8,1
SHROOM3 , Q777C8,1
TUBA1A , Q777C8,1
RBCK1 , Q777C8,1
HOMER3 , Q777C8,1
LMNB1 , P03208,1
SLIT2 , P03208,1
GRN , P03208,1
VWF , P03208,1
HOMER3 , P03208,1
GRN , Q1HVI2,1
VWF , Q1HVI2,1
SLIT3 , Q1HVI2,1
PRMT1 , Q1HVI2,1
HOMER3 , Q1HVI2,1
GRN , P03205,1
GRN , Q1HVB5,1
GRN , P03199,1
TNXB , P0C6Z1,1
TRAF1 , P0C6Z1,1
ACTN1 , P0C6Z1,1
FN1 , P0C6Z1,1
